start_state,end_state,next_best_move,predicted_next_best_move,response
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""red_block"", ""place"": ""yellow_block""}","{""pick"": ""red_block"", ""place"": ""yellow_block""}","    pick: red_block  
    place: yellow_block  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": null, ""place"": null}","{""pick"": ""None"", ""place"": ""None""}","```
pick: None
place: None
```"
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","```
pick: yellow_block
place: blue_block
```"
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","    pick: yellow_block  
    place: blue_block  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""yellow_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","    pick: yellow_block  
    place: blue_block  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","```  
pick: yellow_block  
place: table  
```  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","    pick: yellow_block  
    place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","Here is the next best move:

```
pick: yellow_block
place: table
```"
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","pick: yellow_block  
place: blue_block  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","```
pick: yellow_block  
place: table  
```"
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""red_block""}","```  
pick: yellow_block  
place: red_block  
```  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": null, ""place"": null}","{""pick"": ""None"", ""place"": ""None""}","    pick: None  
    place: None  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","```   
pick: yellow_block  
place: table  
```  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""red_block""}","pick: yellow_block  
place: red_block  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","```
pick: yellow_block  
place: table  
```"
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""red_block"", ""place"": ""yellow_block""}","{""pick"": ""yellow_block"", ""place"": ""red_block""}","pick: yellow_block  
place: red_block  "
"{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","Based on the starting state and the desired end state, the next best move is:

```
pick: yellow_block
place: table
```"
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","    pick: blue_block  
    place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": null, ""place"": null}","{""pick"": ""None"", ""place"": ""None""}","pick: None  
place: None  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""blue_block""}","pick: yellow_block  
place: blue_block  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""yellow_block""}","{""pick"": ""blue_block"", ""place"": ""yellow_block""}","pick: blue_block  
place: yellow_block  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""yellow_block""}","pick: blue_block  
place: yellow_block  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table"
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""blue_block"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""yellow_block""}","{""pick"": ""blue_block"", ""place"": ""yellow_block""}","pick: blue_block  
place: yellow_block  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","```
pick: blue_block  
place: table  
```"
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","```
pick: yellow_block  
place: table  
```"
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""pick"": null, ""place"": null}","{""pick"": ""None"", ""place"": ""None""}","pick: None  
place: None  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","    pick: yellow_block  
    place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","```  
pick: yellow_block  
place: table  
```  "
"{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""red_block"": ""yellow_block"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","    pick: blue_block  
    place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""red_block""}","```
pick: blue_block
place: red_block
```"
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""red_block""}","pick: blue_block  
place: red_block  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": null, ""place"": null}","{""pick"": ""None"", ""place"": ""None""}","```
pick: None
place: None
```"
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""red_block""}","pick: yellow_block  
place: red_block  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","    pick: blue_block  
    place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""blue_block"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""red_block"", ""place"": ""blue_block""}","{""pick"": ""red_block"", ""place"": ""blue_block""}","pick: red_block  
place: blue_block  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""red_block"": ""yellow_block"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","```  
pick: blue_block  
place: table  
```  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""table"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""red_block"", ""yellow_block"": ""blue_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""red_block""}","pick: blue_block  
place: red_block  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""yellow_block"", ""place"": ""table""}","pick: yellow_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""pick"": null, ""place"": null}","{""pick"": ""None"", ""place"": ""None""}","pick: None  
place: None  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""table"", ""yellow_block"": ""red_block""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","    pick: blue_block  
    place: table  "
"{""red_block"": ""table"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""red_block""}","{""red_block"": ""blue_block"", ""blue_block"": ""yellow_block"", ""yellow_block"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","{""pick"": ""blue_block"", ""place"": ""table""}","pick: blue_block  
place: table"
